epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9415,1.50931,3.13333,1.61686,0.80173,0.32097,0.5995,0.36831,1.2963,2.83961,1.20227,0.000549692,0.000549692,0.000549692
2,28.3772,1.69048,2.58395,1.77105,0.69995,0.51587,0.60781,0.35482,1.37268,2.32288,1.3385,0.00106888,0.00106888,0.00106888
3,40.8441,1.71115,2.26528,1.78479,0.50698,0.49206,0.47277,0.25207,1.51708,1.90099,1.45422,0.0015514,0.0015514,0.0015514
4,53.1662,1.72636,2.0741,1.80094,0.7494,0.63492,0.7514,0.46755,1.32283,2.14715,1.27436,0.00150197,0.00150197,0.00150197
5,66.0116,1.6494,1.89946,1.75856,0.82425,0.64286,0.73245,0.38536,1.49717,1.67693,1.4032,0.00144696,0.00144696,0.00144696
6,78.9243,1.60945,1.76928,1.72455,0.92989,0.73016,0.86352,0.55292,1.35013,1.17425,1.26975,0.00139195,0.00139195,0.00139195
7,91.8486,1.6072,1.6498,1.70393,0.86408,0.6559,0.74983,0.44978,1.50214,2.2096,1.33935,0.00133693,0.00133693,0.00133693
8,105.112,1.55294,1.63852,1.6864,0.7751,0.79322,0.82694,0.55287,1.16785,1.09739,1.23694,0.00128192,0.00128192,0.00128192
9,117.729,1.50303,1.57063,1.62561,0.8946,0.8254,0.94031,0.6528,1.09911,0.83777,1.14068,0.00122691,0.00122691,0.00122691
10,131.778,1.47762,1.4902,1.61389,0.86139,0.87302,0.92332,0.64416,1.12924,0.86472,1.14994,0.0011719,0.0011719,0.0011719
11,145.569,1.46455,1.49192,1.60669,0.91468,0.80952,0.94179,0.65804,1.04739,0.84788,1.16834,0.00111689,0.00111689,0.00111689
12,158.763,1.42149,1.45346,1.55793,0.8969,0.82848,0.93884,0.63636,1.23487,0.83265,1.18744,0.00106188,0.00106188,0.00106188
13,171.852,1.39307,1.40216,1.56273,0.9232,0.8586,0.93808,0.70532,0.98822,0.88888,1.1359,0.00100687,0.00100687,0.00100687
14,185.836,1.40528,1.36191,1.54623,0.9493,0.89156,0.96707,0.71385,1.07056,0.8042,1.12262,0.000951857,0.000951857,0.000951857
15,198.89,1.37821,1.31951,1.54272,0.90087,0.86554,0.95079,0.69191,1.05746,0.76497,1.14766,0.000896846,0.000896846,0.000896846
16,211.753,1.35778,1.27128,1.51959,0.95117,0.92754,0.97777,0.71874,1.01706,0.69146,1.1015,0.000841835,0.000841835,0.000841835
17,225.751,1.33938,1.26672,1.50147,0.9504,0.91253,0.97666,0.74562,0.93994,0.66717,1.08035,0.000786824,0.000786824,0.000786824
18,238.615,1.29456,1.19635,1.486,0.9618,0.88889,0.97265,0.7386,0.93502,0.67041,1.0857,0.000731813,0.000731813,0.000731813
19,252.026,1.28839,1.19176,1.47653,0.92075,0.92215,0.98119,0.76423,0.87096,0.62694,1.09583,0.000676802,0.000676802,0.000676802
20,266.547,1.28394,1.18103,1.47776,0.93506,0.92063,0.96053,0.72643,0.87222,0.63635,1.05637,0.000621791,0.000621791,0.000621791
21,280.676,1.19664,0.93576,1.4467,0.94098,0.92063,0.96782,0.74296,0.90867,0.66006,1.06628,0.00056678,0.00056678,0.00056678
22,293.826,1.14085,0.85383,1.41687,0.91931,0.96032,0.97867,0.76079,0.83391,0.6281,1.0509,0.000511769,0.000511769,0.000511769
23,306.391,1.12261,0.83646,1.39052,0.94253,0.91114,0.96115,0.76374,0.86094,0.67498,1.05655,0.000456758,0.000456758,0.000456758
24,319.256,1.10933,0.80313,1.37813,0.98014,0.93651,0.9799,0.7947,0.78985,0.593,1.0156,0.000401747,0.000401747,0.000401747
25,331.733,1.07765,0.77288,1.36062,0.96573,0.95238,0.97599,0.78877,0.80567,0.57586,1.01913,0.000346736,0.000346736,0.000346736
26,344.429,1.06487,0.76089,1.35604,0.98744,0.96032,0.99062,0.81953,0.74321,0.55564,1.02006,0.000291725,0.000291725,0.000291725
27,357.557,1.03929,0.74622,1.33158,0.9522,0.98413,0.99178,0.82311,0.71127,0.53508,0.99572,0.000236714,0.000236714,0.000236714
28,370.348,1.01043,0.73609,1.31109,0.93921,0.98413,0.99081,0.80808,0.74417,0.52917,0.99706,0.000181703,0.000181703,0.000181703
29,383.138,0.97799,0.7031,1.29553,0.96858,0.97855,0.99129,0.8219,0.69906,0.52377,0.98503,0.000126692,0.000126692,0.000126692
30,395.752,0.96676,0.68276,1.28298,0.96834,0.97104,0.99202,0.82471,0.69667,0.50676,0.98094,7.1681e-05,7.1681e-05,7.1681e-05
