epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3478,1.47692,2.94598,1.59338,0.91654,0.43582,0.72841,0.44311,1.28706,2.50932,1.22315,0.000549692,0.000549692,0.000549692
2,22.9898,1.64702,2.45037,1.72473,0.57994,0.59524,0.61635,0.39234,1.33332,2.35626,1.30988,0.00106888,0.00106888,0.00106888
3,33.6463,1.66534,2.26026,1.77465,0.45539,0.39683,0.38689,0.20674,1.59835,2.28789,1.44392,0.0015514,0.0015514,0.0015514
4,43.7462,1.69055,2.04197,1.77455,0.64261,0.67071,0.70686,0.45135,1.34433,1.37958,1.27521,0.00150197,0.00150197,0.00150197
5,53.7589,1.60797,1.85887,1.71599,0.78402,0.74603,0.81363,0.45178,1.35749,1.30227,1.36147,0.00144696,0.00144696,0.00144696
6,63.8833,1.59527,1.75336,1.71187,0.81925,0.74603,0.87426,0.60578,1.14476,1.19715,1.23374,0.00139195,0.00139195,0.00139195
7,73.9844,1.56023,1.68918,1.68953,0.82403,0.78047,0.87608,0.57549,1.25165,1.122,1.21938,0.00133693,0.00133693,0.00133693
8,84.989,1.53513,1.62401,1.66579,0.91124,0.8254,0.9109,0.62594,1.11781,0.95944,1.1905,0.00128192,0.00128192,0.00128192
9,96.3276,1.48116,1.53084,1.6178,0.83876,0.88095,0.92385,0.64602,1.10435,0.89964,1.19446,0.00122691,0.00122691,0.00122691
10,107.851,1.45115,1.48804,1.59717,0.93516,0.7381,0.83112,0.60008,1.11383,1.21428,1.19674,0.0011719,0.0011719,0.0011719
11,119.938,1.43009,1.46568,1.59634,0.94565,0.90476,0.96039,0.69349,1.00798,0.81232,1.13819,0.00111689,0.00111689,0.00111689
12,131.683,1.39571,1.39507,1.53552,0.96697,0.87302,0.95135,0.67865,1.10789,0.77562,1.15592,0.00106188,0.00106188,0.00106188
13,143.706,1.37304,1.35809,1.53546,0.97481,0.92128,0.97001,0.73226,0.99247,0.71567,1.10172,0.00100687,0.00100687,0.00100687
14,155.854,1.35889,1.29913,1.51185,0.92058,0.90476,0.96457,0.69126,0.99346,0.77782,1.09788,0.000951857,0.000951857,0.000951857
15,167.688,1.31586,1.25743,1.49844,0.94635,0.83993,0.95253,0.70404,0.94559,0.77037,1.08403,0.000896846,0.000896846,0.000896846
16,178.848,1.32405,1.24085,1.4968,0.98257,0.89683,0.95724,0.71829,0.97081,0.71372,1.08159,0.000841835,0.000841835,0.000841835
17,191.249,1.29765,1.23662,1.47133,0.9675,0.90476,0.98238,0.75108,0.9445,0.62014,1.06305,0.000786824,0.000786824,0.000786824
18,203.349,1.27431,1.17161,1.46001,0.97455,0.91177,0.96007,0.73015,0.90921,0.6875,1.05463,0.000731813,0.000731813,0.000731813
19,214.976,1.27108,1.1615,1.45454,0.93603,0.92901,0.96785,0.74462,0.84491,0.61916,1.04294,0.000676802,0.000676802,0.000676802
20,226.56,1.25223,1.14364,1.45111,0.91662,0.95973,0.97362,0.77416,0.82515,0.62076,1.03703,0.000621791,0.000621791,0.000621791
21,239.355,1.17715,0.9215,1.43295,0.96012,0.92857,0.97758,0.77671,0.81993,0.6134,1.02295,0.00056678,0.00056678,0.00056678
22,250.46,1.12587,0.84149,1.42292,0.95234,0.95146,0.98263,0.78197,0.76668,0.58845,1.02054,0.000511769,0.000511769,0.000511769
23,261.984,1.099,0.80772,1.3881,0.975,0.92841,0.98468,0.78176,0.80631,0.56525,1.02371,0.000456758,0.000456758,0.000456758
24,273.205,1.0697,0.79362,1.35179,0.9455,0.96384,0.98544,0.78744,0.76691,0.57244,0.99258,0.000401747,0.000401747,0.000401747
25,284.931,1.04895,0.74983,1.33525,0.97576,0.95859,0.9903,0.8083,0.72986,0.54324,0.98158,0.000346736,0.000346736,0.000346736
26,296.347,1.01654,0.7458,1.32041,0.96057,0.95238,0.98408,0.8268,0.66495,0.53148,0.98318,0.000291725,0.000291725,0.000291725
27,307.883,0.99284,0.70412,1.29454,0.93756,0.95336,0.98617,0.80227,0.73397,0.53191,0.97779,0.000236714,0.000236714,0.000236714
28,319.225,0.98162,0.70069,1.28533,0.96895,0.99206,0.99414,0.82042,0.6718,0.48272,0.97163,0.000181703,0.000181703,0.000181703
29,330.757,0.95074,0.66651,1.2688,0.97091,0.96825,0.98975,0.83242,0.64287,0.47449,0.96497,0.000126692,0.000126692,0.000126692
30,342.437,0.9323,0.66464,1.25057,0.97232,0.96825,0.99124,0.83881,0.6382,0.46887,0.96292,7.1681e-05,7.1681e-05,7.1681e-05
